rearrange_adhesions,update_frame,update_nuc,update_cell,correct_conc,diffuse_k0,save_state,
45,0,2,2,8,0,122,0,
0,0,1,2,8,0,117,0,
0,0,1,2,8,0,117,0,
0,0,1,2,8,0,115,0,
0,0,1,2,9,0,115,0,
0,0,1,2,9,0,116,0,
0,0,1,2,9,0,117,0,
0,0,1,2,9,0,115,0,
0,0,1,2,9,0,115,0,
0,0,1,2,9,0,113,0,
0,0,1,2,9,0,111,0,
0,0,1,2,9,0,110,0,
0,0,1,2,9,0,112,0,
0,0,1,2,9,0,109,0,
0,0,1,2,9,0,111,0,
0,0,1,2,9,0,112,0,
0,0,1,2,9,0,110,0,
0,0,1,2,9,0,112,0,
0,0,1,2,9,0,112,0,
0,0,1,2,9,0,114,0,
0,0,1,2,10,0,112,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,112,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,112,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,116,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,111,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,117,0,
0,0,1,2,10,0,116,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,113,0,
0,0,1,2,10,0,116,0,
0,0,1,2,10,0,115,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,114,0,
0,0,1,2,10,0,114,0,
